strain	strain_name	date	country	segment
OP210895	A/Tennessee/13/2022	2022-04-27	USA	4
OP210901	A/California/75/2022	2022-04-11	USA	4
OP210908	A/California/71/2022	2022-04-06	USA	4
OP210916	A/California/79/2022	2022-04-16	USA	4
OP210922	A/Oregon/24/2022	2022-05-03	USA	4
OP210930	A/Alaska/11/2022	2022-04-21	USA	4
OP210938	A/Alaska/12/2022	2022-04-23	USA	4
OP210946	A/Alaska/13/2022	2022-04-25	USA	4
OP210954	A/Arizona/24/2022	2022-04-25	USA	4
OP210962	A/Arizona/25/2022	2022-04-29	USA	4
OP210970	A/Arizona/26/2022	2022-05-02	USA	4
OP210978	A/Arkansas/13/2022	2022-04-18	USA	4
OP210986	A/Arkansas/14/2022	2022-04-18	USA	4
OP210994	A/Arkansas/15/2022	2022-04-28	USA	4
OP211002	A/California/100/2022	2022-04-24	USA	4
OP211010	A/California/101/2022	2022-04-30	USA	4
OP211018	A/California/102/2022	2022-05-02	USA	4
OP211026	A/California/103/2022	2022-05-03	USA	4
OP211034	A/California/104/2022	2022-05-04	USA	4
OP211042	A/California/105/2022	2022-05-04	USA	4
OP211050	A/California/106/2022	2022-05-05	USA	4
OP211058	A/California/67/2022	2022-04-01	USA	4
OP211066	A/California/68/2022	2022-04-02	USA	4
OP211074	A/California/69/2022	2022-04-04	USA	4
OP211082	A/California/70/2022	2022-04-05	USA	4
OP211090	A/California/72/2022	2022-04-10	USA	4
OP211098	A/California/73/2022	2022-04-10	USA	4
OP211106	A/California/74/2022	2022-04-10	USA	4
OP211114	A/California/76/2022	2022-04-12	USA	4
OP211122	A/California/77/2022	2022-04-15	USA	4
OP211130	A/California/78/2022	2022-04-15	USA	4
OP211138	A/California/80/2022	2022-04-16	USA	4
OP211146	A/California/81/2022	2022-04-19	USA	4
OP211154	A/California/82/2022	2022-04-11	USA	4
OP211162	A/California/83/2022	2022-04-11	USA	4
OP211170	A/California/84/2022	2022-04-12	USA	4
OP211178	A/California/85/2022	2022-04-13	USA	4
OP211186	A/California/86/2022	2022-04-15	USA	4
OP211194	A/California/87/2022	2022-04-19	USA	4
OP211202	A/California/88/2022	2022-04-25	USA	4
OP211210	A/California/89/2022	2022-04-26	USA	4
OP211218	A/California/91/2022	2022-04-28	USA	4
OP211226	A/California/92/2022	2022-04-28	USA	4
OP211234	A/California/93/2022	2022-04-29	USA	4
OP211242	A/California/94/2022	2022-04-29	USA	4
OP211250	A/California/95/2022	2022-05-01	USA	4
OP211258	A/California/96/2022	2022-05-02	USA	4
OP211266	A/California/97/2022	2022-04-22	USA	4
OP211274	A/California/98/2022	2022-04-23	USA	4
OP211282	A/California/99/2022	2022-04-24	USA	4
OP211290	A/Colorado/19/2022	2022-04-18	USA	4
OP211298	A/Colorado/20/2022	2022-04-23	USA	4
OP211306	A/Colorado/21/2022	2022-04-25	USA	4
OP211314	A/Connecticut/13/2022	2022-04-06	USA	4
OP211322	A/Connecticut/14/2022	2022-04-08	USA	4
OP211330	A/Connecticut/15/2022	2022-04-12	USA	4
OP211338	A/Connecticut/16/2022	2022-04-16	USA	4
OP211346	A/Connecticut/17/2022	2022-04-19	USA	4
OP211354	A/Connecticut/18/2022	2022-05-01	USA	4
OP211362	A/Delaware/19/2022	2022-04-12	USA	4
OP211370	A/Delaware/20/2022	2022-04-14	USA	4
OP211378	A/Delaware/22/2022	2022-04-19	USA	4
OP211386	A/Delaware/23/2022	2022-04-20	USA	4
OP211394	A/Delaware/24/2022	2022-04-28	USA	4
OP211402	A/District Of Columbia/32/2022	2022-04-14	USA	4
OP211410	A/District Of Columbia/33/2022	2022-04-15	USA	4
OP211418	A/District Of Columbia/34/2022	2022-05-01	USA	4
OP211426	A/District Of Columbia/35/2022	2022-05-02	USA	4
OP211434	A/District Of Columbia/36/2022	2022-05-06	USA	4
OP211442	A/Florida/18/2022	2022-01-17	USA	4
OP211450	A/Florida/19/2022	2022-01-19	USA	4
OP211458	A/Florida/20/2022	2022-01-20	USA	4
OP211466	A/Florida/21/2022	2022-02-23	USA	4
OP211474	A/Florida/23/2022	2022-03-01	USA	4
OP211482	A/Florida/24/2022	2022-03-22	USA	4
OP211490	A/Florida/25/2022	2022-03-24	USA	4
OP211498	A/Florida/26/2022	2022-03-30	USA	4
OP211506	A/Florida/27/2022	2022-04-14	USA	4
OP211514	A/Florida/27/2022	2022-04-14	USA	4
OP211522	A/Florida/29/2022	2022-04-17	USA	4
OP211530	A/Florida/30/2022	2022-04-18	USA	4
OP211538	A/Florida/31/2022	2022-04-19	USA	4
OP211546	A/Florida/32/2022	2022-04-27	USA	4
OP211554	A/Florida/33/2022	2022-04-28	USA	4
OP211562	A/Florida/34/2022	2022-04-30	USA	4
OP211570	A/Florida/35/2022	2022-05-01	USA	4
OP211578	A/Florida/36/2022	2022-05-03	USA	4
OP211586	A/Hawaii/14/2022	2022-04-25	USA	4
OP211594	A/Hawaii/15/2022	2022-05-02	USA	4
OP211602	A/Hawaii/16/2022	2022-05-07	USA	4
OP211610	A/Idaho/24/2022	2022-04-26	USA	4
OP211618	A/Idaho/25/2022	2022-05-01	USA	4
OP211626	A/Idaho/26/2022	2022-05-02	USA	4
OP211634	A/Kansas/22/2022	2022-04-11	USA	4
OP211642	A/Kansas/22/2022	2022-04-11	USA	4
OP211650	A/Kansas/23/2022	2022-04-12	USA	4
OP211658	A/Kansas/23/2022	2022-04-12	USA	4
OP211665	A/Kansas/24/2022	2022-04-12	USA	4
OP211673	A/Kansas/24/2022	2022-04-12	USA	4
OP211681	A/Kentucky/05/2022	2022-04-25	USA	4
OP211689	A/Kentucky/06/2022	2022-04-25	USA	4
OP211697	A/Kentucky/07/2022	2022-05-05	USA	4
OP211705	A/Louisiana/09/2022	2022-04-25	USA	4
OP211713	A/Louisiana/10/2022	2022-05-02	USA	4
OP211721	A/Maine/04/2022	2022-04-26	USA	4
OP211729	A/Maine/04/2022	2022-04-26	USA	4
OP211737	A/Maine/05/2022	2022-04-27	USA	4
OP211745	A/Maine/05/2022	2022-04-27	USA	4
OP211753	A/Massachusetts/09/2022	2022-04-17	USA	4
OP211761	A/Massachusetts/09/2022	2022-04-17	USA	4
OP211768	A/Massachusetts/10/2022	2022-04-24	USA	4
OP211776	A/Massachusetts/10/2022	2022-04-24	USA	4
OP211784	A/Massachusetts/11/2022	2022-04-24	USA	4
OP211792	A/Massachusetts/11/2022	2022-04-24	USA	4
OP211800	A/Michigan/26/2022	2022-04-18	USA	4
OP211808	A/Michigan/27/2022	2022-04-18	USA	4
OP211816	A/Michigan/32/2022	2022-05-09	USA	4
OP211824	A/Michigan/33/2022	2022-05-10	USA	4
OP211832	A/Michigan/34/2022	2022-05-21	USA	4
OP211840	A/Minnesota/25/2022	2022-04-24	USA	4
OP211848	A/Minnesota/26/2022	2022-04-25	USA	4
OP211856	A/Minnesota/27/2022	2022-04-27	USA	4
OP211864	A/Minnesota/31/2022	2022-05-23	USA	4
OP211872	A/Mississippi/14/2022	2022-04-12	USA	4
OP211880	A/Mississippi/14/2022	2022-04-12	USA	4
OP211888	A/Mississippi/15/2022	2022-04-21	USA	4
OP211896	A/Mississippi/15/2022	2022-04-21	USA	4
OP211904	A/Mississippi/16/2022	2022-04-25	USA	4
OP211912	A/Mississippi/16/2022	2022-04-25	USA	4
OP211920	A/Missouri/14/2022	2022-04-18	USA	4
OP211928	A/Missouri/14/2022	2022-04-18	USA	4
OP211936	A/Montana/19/2022	2022-04-22	USA	4
OP211944	A/Montana/20/2022	2022-04-25	USA	4
OP211952	A/Montana/21/2022	2022-05-02	USA	4
OP211960	A/Nebraska/19/2022	2022-04-18	USA	4
OP211968	A/Nebraska/19/2022	2022-04-18	USA	4
OP211976	A/Nevada/18/2022	2022-04-25	USA	4
OP211984	A/Nevada/19/2022	2022-04-26	USA	4
OP211992	A/Nevada/20/2022	2022-05-02	USA	4
OP212000	A/New Hampshire/14/2022	2022-04-19	USA	4
OP212008	A/New Hampshire/14/2022	2022-04-19	USA	4
OP212016	A/New Hampshire/15/2022	2022-04-25	USA	4
OP212024	A/New Hampshire/15/2022	2022-04-25	USA	4
OP212032	A/New Hampshire/16/2022	2022-04-25	USA	4
OP212040	A/New Hampshire/16/2022	2022-04-25	USA	4
OP212048	A/New Jersey/13/2022	2022-04-13	USA	4
OP212056	A/New Jersey/15/2022	2022-04-13	USA	4
OP212064	A/New Jersey/16/2022	2022-05-01	USA	4
OP212072	A/New Jersey/17/2022	2022-05-03	USA	4
OP212080	A/New Jersey/18/2022	2022-05-03	USA	4
OP212088	A/Ohio/19/2022	2022-05-21	USA	4
OP212096	A/Ohio/20/2022	2022-05-23	USA	4
OP212104	A/Ohio/21/2022	2022-05-30	USA	4
OP212112	A/Oregon/19/2022	2022-04-21	USA	4
OP212120	A/Oregon/20/2022	2022-04-23	USA	4
OP212128	A/Oregon/21/2022	2022-04-27	USA	4
OP212136	A/Oregon/22/2022	2022-05-02	USA	4
OP212144	A/Oregon/23/2022	2022-05-02	USA	4
OP212152	A/Pennsylvania/30/2022	2022-04-22	USA	4
OP212160	A/Pennsylvania/30/2022	2022-04-22	USA	4
OP212168	A/Pennsylvania/31/2022	2022-04-26	USA	4
OP212176	A/Pennsylvania/31/2022	2022-04-26	USA	4
OP212184	A/Pennsylvania/32/2022	2022-04-27	USA	4
OP212192	A/Pennsylvania/32/2022	2022-04-27	USA	4
OP212200	A/Rhode Island/22/2022	2022-04-13	USA	4
OP212208	A/Rhode Island/24/2022	2022-04-20	USA	4
OP212216	A/Rhode Island/25/2022	2022-04-25	USA	4
OP212224	A/Rhode Island/26/2022	2022-04-29	USA	4
OP212232	A/Rhode Island/27/2022	2022-05-04	USA	4
OP212240	A/Texas/55/2022	2022-04-18	USA	4
OP212248	A/Texas/56/2022	2022-04-19	USA	4
OP212256	A/Texas/57/2022	2022-04-20	USA	4
OP212264	A/Texas/58/2022	2022-04-14	USA	4
OP212272	A/Texas/59/2022	2022-04-23	USA	4
OP212280	A/Texas/60/2022	2022-04-23	USA	4
OP212288	A/Texas/61/2022	2022-04-20	USA	4
OP212296	A/Texas/62/2022	2022-04-20	USA	4
OP212304	A/Texas/63/2022	2022-04-20	USA	4
OP212312	A/Texas/67/2022	2022-05-19	USA	4
OP212320	A/Texas/68/2022	2022-05-19	USA	4
OP212328	A/Texas/69/2022	2022-05-22	USA	4
OP212336	A/Utah/20/2022	2022-04-20	USA	4
OP212344	A/Utah/21/2022	2022-04-20	USA	4
OP212352	A/Utah/22/2022	2022-04-25	USA	4
OP212360	A/Utah/23/2022	2022-05-01	USA	4
OP212368	A/Utah/24/2022	2022-05-01	USA	4
OP212376	A/Utah/26/2022	2022-05-11	USA	4
OP212384	A/Utah/28/2022	2022-05-18	USA	4
OP212392	A/Washington/18/2022	2022-04-04	USA	4
OP212400	A/Washington/19/2022	2022-04-11	USA	4
OP212408	A/Washington/20/2022	2022-04-13	USA	4
OP212416	A/Washington/21/2022	2022-04-15	USA	4
OP212424	A/Washington/22/2022	2022-04-17	USA	4
OP212432	A/Washington/23/2022	2022-04-26	USA	4
OP212440	A/Washington/24/2022	2022-04-29	USA	4
OP212448	A/Washington/25/2022	2022-04-30	USA	4
OP212456	A/Washington/26/2022	2022-05-04	USA	4
OP212464	A/West Virginia/15/2022	2022-04-08	USA	4
OP212472	A/West Virginia/16/2022	2022-04-12	USA	4
OP212480	A/West Virginia/17/2022	2022-04-22	USA	4
OP212488	A/Wisconsin/31/2022	2022-04-22	USA	4
OP212496	A/Wisconsin/32/2022	2022-04-23	USA	4
OP212504	A/Wisconsin/33/2022	2022-05-11	USA	4
OP212512	A/Wisconsin/39/2022	2022-05-29	USA	4
OP212520	A/Wisconsin/40/2022	2022-05-31	USA	4
OP212528	A/Wyoming/13/2022	2022-05-02	USA	4
OP212536	A/Wyoming/14/2022	2022-05-10	USA	4
OP212544	A/Wyoming/15/2022	2022-05-12	USA	4
OP212554	A/West Virginia/23/2022	2022-05-13	USA	4
OP212559	A/New York/17/2022	2022-05-18	USA	4
OP212566	A/Florida/59/2022	2022-06-06	USA	4
OP212573	A/Florida/42/2022	2022-04-13	USA	4
OP212580	A/District Of Columbia/45/2022	2022-05-29	USA	4
OP212587	A/Florida/55/2022	2022-05-24	USA	4
OP212594	A/Texas/39/2022	2022-03-14	USA	4
OP212601	A/Oregon/12/2022	2022-03-07	USA	4
OP212608	A/Arizona/33/2022	2022-06-11	USA	4
OP212615	A/Florida/59/2022	2022-06-06	USA	4
OP212622	A/Florida/55/2022	2022-05-24	USA	4
OP212629	A/District Of Columbia/45/2022	2022-05-29	USA	4
OP212636	A/West Virginia/23/2022	2022-05-13	USA	4
OP212644	A/Alabama/10/2022	2022-06-02	USA	4
OP212652	A/Alabama/11/2022	2022-06-02	USA	4
OP212660	A/Alabama/12/2022	2022-06-07	USA	4
OP212668	A/Alabama/13/2022	2022-06-07	USA	4
OP212676	A/Alabama/15/2022	2022-06-07	USA	4
OP212684	A/Alabama/16/2022	2022-06-10	USA	4
OP212692	A/Alabama/17/2022	2022-06-11	USA	4
OP212700	A/Alaska/17/2022	2022-05-24	USA	4
OP212708	A/Alaska/18/2022	2022-05-24	USA	4
OP212716	A/Alaska/19/2022	2022-05-25	USA	4
OP212724	A/Alaska/20/2022	2022-06-01	USA	4
OP212732	A/Alaska/21/2022	2022-06-05	USA	4
OP212740	A/Arizona/15/2022	2022-03-12	USA	4
OP212748	A/Arizona/16/2022	2022-03-12	USA	4
OP212756	A/Arizona/17/2022	2022-03-12	USA	4
OP212764	A/Arizona/30/2022	2022-05-30	USA	4
OP212772	A/Arizona/31/2022	2022-05-30	USA	4
OP212780	A/Arizona/32/2022	2022-05-30	USA	4
OP212788	A/Arizona/35/2022	2022-06-14	USA	4
OP212796	A/California/112/2022	2022-05-16	USA	4
OP212804	A/California/113/2022	2022-05-16	USA	4
OP212812	A/California/114/2022	2022-05-17	USA	4
OP212820	A/California/115/2022	2022-05-19	USA	4
OP212828	A/California/116/2022	2022-05-19	USA	4
OP212836	A/California/30/2022	2022-02-26	USA	4
OP212844	A/California/31/2022	2022-03-02	USA	4
OP212852	A/California/32/2022	2022-03-11	USA	4
OP212860	A/California/33/2022	2022-03-18	USA	4
OP212868	A/Colorado/25/2022	2022-05-17	USA	4
OP212876	A/Colorado/26/2022	2022-05-22	USA	4
OP212884	A/Colorado/27/2022	2022-05-26	USA	4
OP212892	A/Connecticut/22/2022	2022-05-17	USA	4
OP212900	A/Connecticut/22/2022	2022-05-17	USA	4
OP212908	A/Connecticut/23/2022	2022-05-19	USA	4
OP212916	A/Connecticut/24/2022	2022-05-25	USA	4
OP212924	A/Connecticut/25/2022	2022-06-05	USA	4
OP212932	A/Connecticut/26/2022	2022-06-05	USA	4
OP212940	A/Connecticut/26/2022	2022-06-05	USA	4
OP212948	A/Connecticut/27/2022	2022-06-11	USA	4
OP212956	A/Connecticut/27/2022	2022-06-11	USA	4
OP212964	A/Delaware/28/2022	2022-05-25	USA	4
OP212972	A/Delaware/29/2022	2022-05-27	USA	4
OP212980	A/Delaware/29/2022	2022-05-27	USA	4
OP212988	A/Delaware/30/2022	2022-05-27	USA	4
OP212996	A/Delaware/31/2022	2022-06-09	USA	4
OP213004	A/Delaware/32/2022	2022-06-14	USA	4
OP213012	A/Delaware/33/2022	2022-06-16	USA	4
OP213020	A/District Of Columbia/41/2022	2022-05-21	USA	4
OP213027	A/District Of Columbia/41/2022	2022-05-21	USA	4
OP213035	A/District Of Columbia/42/2022	2022-05-23	USA	4
OP213043	A/District Of Columbia/42/2022	2022-05-23	USA	4
OP213051	A/District Of Columbia/43/2022	2022-05-23	USA	4
OP213059	A/District Of Columbia/43/2022	2022-05-23	USA	4
OP213067	A/District Of Columbia/44/2022	2022-05-29	USA	4
OP213075	A/District Of Columbia/44/2022	2022-05-29	USA	4
OP213083	A/District Of Columbia/46/2022	2022-06-02	USA	4
OP213091	A/District Of Columbia/46/2022	2022-06-02	USA	4
OP213099	A/District Of Columbia/47/2022	2022-06-06	USA	4
OP213107	A/District Of Columbia/47/2022	2022-06-06	USA	4
OP213115	A/District Of Columbia/48/2022	2022-06-08	USA	4
OP213123	A/District Of Columbia/48/2022	2022-06-08	USA	4
OP213131	A/District Of Columbia/49/2022	2022-06-09	USA	4
OP213139	A/Florida/40/2022	2022-04-03	USA	4
OP213147	A/Florida/40/2022	2022-04-03	USA	4
OP213155	A/Florida/41/2022	2022-04-05	USA	4
OP213163	A/Florida/41/2022	2022-04-05	USA	4
OP213171	A/Florida/43/2022	2022-04-16	USA	4
OP213179	A/Florida/43/2022	2022-04-16	USA	4
OP213187	A/Florida/44/2022	2022-04-20	USA	4
OP213195	A/Florida/44/2022	2022-04-20	USA	4
OP213203	A/Florida/45/2022	2022-05-05	USA	4
OP213211	A/Florida/45/2022	2022-05-05	USA	4
OP213219	A/Florida/46/2022	2022-05-08	USA	4
OP213227	A/Florida/46/2022	2022-05-08	USA	4
OP213235	A/Florida/47/2022	2022-05-13	USA	4
OP213243	A/Florida/47/2022	2022-05-13	USA	4
OP213251	A/Florida/49/2022	2022-05-26	USA	4
OP213259	A/Florida/49/2022	2022-05-26	USA	4
OP213267	A/Florida/50/2022	2022-05-26	USA	4
OP213275	A/Florida/50/2022	2022-05-26	USA	4
OP213283	A/Florida/51/2022	2022-05-31	USA	4
OP213291	A/Florida/51/2022	2022-05-31	USA	4
OP213299	A/Florida/52/2022	2022-05-15	USA	4
OP213307	A/Florida/52/2022	2022-05-15	USA	4
OP213315	A/Florida/53/2022	2022-05-19	USA	4
OP213323	A/Florida/53/2022	2022-05-19	USA	4
OP213331	A/Florida/54/2022	2022-05-24	USA	4
OP213339	A/Florida/54/2022	2022-05-24	USA	4
OP213347	A/Florida/56/2022	2022-05-30	USA	4
OP213355	A/Florida/56/2022	2022-05-30	USA	4
OP213363	A/Florida/57/2022	2022-05-30	USA	4
OP213371	A/Florida/57/2022	2022-05-30	USA	4
OP213379	A/Florida/58/2022	2022-06-06	USA	4
OP213387	A/Florida/58/2022	2022-06-06	USA	4
OP213395	A/Florida/60/2022	2022-06-06	USA	4
OP213402	A/Florida/60/2022	2022-06-06	USA	4
OP213410	A/Florida/61/2022	2022-06-06	USA	4
OP213418	A/Florida/62/2022	2022-06-10	USA	4
OP213426	A/Florida/63/2022	2022-06-14	USA	4
OP213434	A/Hawaii/05/2022	2022-03-01	USA	4
OP213442	A/Hawaii/06/2022	2022-03-03	USA	4
OP213450	A/Hawaii/07/2022	2022-03-08	USA	4
OP213458	A/Hawaii/17/2022	2022-05-28	USA	4
OP213466	A/Hawaii/18/2022	2022-06-01	USA	4
OP213474	A/Hawaii/19/2022	2022-06-10	USA	4
OP213482	A/Idaho/06/2022	2022-02-01	USA	4
OP213490	A/Idaho/07/2022	2022-02-10	USA	4
OP213498	A/Idaho/08/2022	2022-02-13	USA	4
OP213506	A/Idaho/09/2022	2022-02-23	USA	4
OP213514	A/Idaho/10/2022	2022-03-02	USA	4
OP213522	A/Idaho/11/2022	2022-03-04	USA	4
OP213530	A/Idaho/12/2022	2022-03-05	USA	4
OP213538	A/Idaho/13/2022	2022-03-07	USA	4
OP213546	A/Idaho/14/2022	2022-03-08	USA	4
OP213554	A/Idaho/15/2022	2022-03-09	USA	4
OP213562	A/Idaho/16/2022	2022-03-17	USA	4
OP213570	A/Idaho/17/2022	2022-03-20	USA	4
OP213578	A/Illinois/17/2022	2022-06-01	USA	4
OP213586	A/Illinois/17/2022	2022-06-01	USA	4
OP213594	A/Iowa/21/2022	2022-05-17	USA	4
OP213602	A/Iowa/22/2022	2022-05-18	USA	4
OP213610	A/Iowa/22/2022	2022-05-18	USA	4
OP213618	A/Iowa/23/2022	2022-05-22	USA	4
OP213626	A/Iowa/23/2022	2022-05-22	USA	4
OP213634	A/Massachusetts/15/2022	2022-05-14	USA	4
OP213642	A/Massachusetts/15/2022	2022-05-14	USA	4
OP213650	A/Massachusetts/16/2022	2022-05-14	USA	4
OP213658	A/Massachusetts/16/2022	2022-05-14	USA	4
OP213666	A/Massachusetts/17/2022	2022-05-21	USA	4
OP213674	A/Massachusetts/17/2022	2022-05-21	USA	4
OP213682	A/Massachusetts/18/2022	2022-06-04	USA	4
OP213690	A/Massachusetts/18/2022	2022-06-04	USA	4
OP213698	A/Michigan/32/2022	2022-05-09	USA	4
OP213706	A/Michigan/33/2022	2022-05-10	USA	4
OP213714	A/Michigan/34/2022	2022-05-21	USA	4
OP213722	A/Minnesota/31/2022	2022-05-23	USA	4
OP213730	A/Minnesota/32/2022	2022-05-10	USA	4
OP213738	A/Minnesota/33/2022	2022-05-10	USA	4
OP213746	A/Minnesota/34/2022	2022-05-14	USA	4
OP213754	A/Montana/14/2022	2022-03-21	USA	4
OP213762	A/Montana/22/2022	2022-05-17	USA	4
OP213770	A/Montana/23/2022	2022-05-18	USA	4
OP213778	A/Montana/24/2022	2022-05-27	USA	4
OP213786	A/Montana/25/2022	2022-06-04	USA	4
OP213794	A/Montana/26/2022	2022-06-07	USA	4
OP213802	A/Nevada/08/2022	2022-03-08	USA	4
OP213810	A/Nevada/09/2022	2022-03-16	USA	4
OP213818	A/Nevada/10/2022	2022-03-23	USA	4
OP213826	A/Nevada/11/2022	2022-03-24	USA	4
OP213834	A/Nevada/22/2022	2022-05-16	USA	4
OP213842	A/Nevada/24/2022	2022-05-22	USA	4
OP213850	A/Nevada/25/2022	2022-05-23	USA	4
OP213858	A/Nevada/26/2022	2022-06-03	USA	4
OP213866	A/Nevada/27/2022	2022-06-06	USA	4
OP213874	A/Nevada/28/2022	2022-06-06	USA	4
OP213882	A/Nevada/29/2022	2022-06-06	USA	4
OP213890	A/New Hampshire/20/2022	2022-04-18	USA	4
OP213898	A/New Hampshire/20/2022	2022-04-18	USA	4
OP213906	A/New Hampshire/21/2022	2022-04-30	USA	4
OP213914	A/New Hampshire/22/2022	2022-05-17	USA	4
OP213922	A/New Hampshire/22/2022	2022-05-17	USA	4
OP213930	A/New Hampshire/23/2022	2022-04-25	USA	4
OP213938	A/New Hampshire/23/2022	2022-04-25	USA	4
OP213946	A/New Hampshire/24/2022	2022-05-03	USA	4
OP213954	A/New Hampshire/24/2022	2022-05-03	USA	4
OP213962	A/New Hampshire/25/2022	2022-05-19	USA	4
OP213970	A/New Jersey/22/2022	2022-05-23	USA	4
OP213978	A/New Jersey/22/2022	2022-05-23	USA	4
OP213986	A/New Jersey/23/2022	2022-05-23	USA	4
OP213994	A/New Jersey/24/2022	2022-05-31	USA	4
OP214002	A/New Mexico/10/2022	2022-03-07	USA	4
OP214010	A/New Mexico/11/2022	2022-03-11	USA	4
OP214018	A/New Mexico/16/2022	2022-05-28	USA	4
OP214026	A/New Mexico/17/2022	2022-05-28	USA	4
OP214034	A/New Mexico/18/2022	2022-05-28	USA	4
OP214042	A/Ohio/19/2022	2022-05-21	USA	4
OP214050	A/Ohio/20/2022	2022-05-23	USA	4
OP214058	A/Ohio/21/2022	2022-05-30	USA	4
OP214066	A/Oregon/10/2022	2022-03-02	USA	4
OP214074	A/Oregon/11/2022	2022-03-02	USA	4
OP214082	A/Oregon/25/2022	2022-05-26	USA	4
OP214090	A/Oregon/26/2022	2022-05-27	USA	4
OP214098	A/Oregon/27/2022	2022-05-31	USA	4
OP214106	A/Pennsylvania/36/2022	2022-05-18	USA	4
OP214114	A/Pennsylvania/36/2022	2022-05-18	USA	4
OP214122	A/Pennsylvania/39/2022	2022-05-30	USA	4
OP214130	A/Pennsylvania/40/2022	2022-06-01	USA	4
OP214138	A/Rhode Island/31/2022	2022-05-23	USA	4
OP214146	A/Rhode Island/31/2022	2022-05-23	USA	4
OP214154	A/Rhode Island/32/2022	2022-05-24	USA	4
OP214162	A/Rhode Island/33/2022	2022-05-29	USA	4
OP214170	A/Rhode Island/34/2022	2022-06-02	USA	4
OP214178	A/Rhode Island/35/2022	2022-06-06	USA	4
OP214186	A/Rhode Island/36/2022	2022-06-09	USA	4
OP214194	A/Texas/40/2022	2022-03-14	USA	4
OP214202	A/Texas/41/2022	2022-03-14	USA	4
OP214210	A/Texas/42/2022	2022-03-17	USA	4
OP214218	A/Texas/43/2022	2022-03-18	USA	4
OP214226	A/Texas/44/2022	2022-03-22	USA	4
OP214234	A/Texas/70/2022	2022-05-17	USA	4
OP214242	A/Texas/71/2022	2022-06-09	USA	4
OP214250	A/Texas/72/2022	2022-06-09	USA	4
OP214258	A/Utah/29/2022	2022-06-01	USA	4
OP214266	A/Utah/30/2022	2022-06-01	USA	4
OP214274	A/Washington/09/2022	2022-03-01	USA	4
OP214282	A/Washington/10/2022	2022-03-12	USA	4
OP214290	A/Washington/27/2022	2022-05-05	USA	4
OP214298	A/Washington/28/2022	2022-05-15	USA	4
OP214306	A/Washington/29/2022	2022-05-23	USA	4
OP214314	A/West Virginia/22/2022	2022-05-06	USA	4
OP214322	A/West Virginia/22/2022	2022-05-06	USA	4
OP214330	A/Wisconsin/39/2022	2022-05-29	USA	4
OP214338	A/Wisconsin/40/2022	2022-05-31	USA	4
OP289662	A/Colorado/13337/2022	2022-05-31	USA	4
OP289666	A/Connecticut/13338/2022	2022-07-07	USA	4
OP390875	A/Human/New York City/PV63013/2022	2022-05-22	USA	4
OP390898	A/Human/New York City/PV60789/2022	2022-05-19	USA	4
OP390883	A/Human/New York City/PV63004/2022	2022-05-26	USA	4
OP390891	A/Human/New York City/PV63000/2022	2022-05-17	USA	4
OP390936	A/Human/New York City/PV63031/2022	2022-05-27	USA	4
OP390952	A/Human/New York City/PV60595/2022	2022-05-15	USA	4
OP390984	A/Human/New York City/PV63023/2022	2022-05-21	USA	4
OP390944	A/Human/New York City/PV60598/2022	2022-05-13	USA	4
OP390960	A/Human/New York City/PV63009/2022	2022-05-26	USA	4
OP390968	A/Human/New York City/PV60788/2022	2022-05-18	USA	4
OP391000	A/Human/New York City/PV60798/2022	2022-05-18	USA	4
OP390976	A/Human/New York City/PV63007/2022	2022-05-25	USA	4
OP391016	A/Human/New York City/PV60579/2022	2022-05-17	USA	4
OP391032	A/Human/New York City/PV60797/2022	2022-05-23	USA	4
OP391048	A/Human/New York City/PV63014/2022	2022-05-23	USA	4
OP391088	A/Human/New York City/PV60573/2022	2022-05-13	USA	4
OP391008	A/Human/New York City/PV63011/2022	2022-05-27	USA	4
OP391024	A/Human/New York City/PV60572/2022	2022-05-12	USA	4
OP391080	A/Human/New York City/PV63020/2022	2022-05-25	USA	4
OP391137	A/Human/New York City/PV63010/2022	2022-05-27	USA	4
OP391040	A/Human/New York City/PV63012/2022	2022-05-21	USA	4
OP391072	A/Human/New York City/PV60583/2022	2022-05-15	USA	4
OP391129	A/Human/New York City/PV60596/2022	2022-05-13	USA	4
OP391121	A/Human/New York City/PV60582/2022	2022-05-16	USA	4
OP391096	A/Human/New York City/PV63005/2022	2022-05-27	USA	4
OP390992	A/Human/New York City/PV63028/2022	2022-05-28	USA	4
OP391064	A/Human/New York City/PV60576/2022	2022-05-16	USA	4
OP391056	A/Human/New York City/PV60590/2022	2022-05-16	USA	4
OP391145	A/Human/New York City/PV60585/2022	2022-05-14	USA	4
OP391112	A/Human/New York City/PV63021/2022	2022-05-23	USA	4
OP391161	A/Human/New York City/PV60588/2022	2022-05-17	USA	4
OP391153	A/Human/New York City/PV63015/2022	2022-05-24	USA	4
OP391104	A/Human/New York City/PV60592/2022	2022-05-16	USA	4
OP391224	A/Human/New York City/PV60594/2022	2022-05-14	USA	4
OP391208	A/Human/New York City/PV60787/2022	2022-05-19	USA	4
OP391177	A/Human/New York City/PV60795/2022	2022-05-23	USA	4
OP391184	A/Human/New York City/PV60794/2022	2022-05-19	USA	4
OP391169	A/Human/New York City/PV60575/2022	2022-05-14	USA	4
OP391200	A/Human/New York City/PV63024/2022	2022-05-21	USA	4
